# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pres v_tempera v_dense v_entha
0 9.65573 -238.983 6057.23 300 0.896305 -189.071
10 8.94975 -238.264 6323.45 278.065 0.896305 -187.289
20 8.8066 -237.768 6428.09 273.618 0.896305 -186.241
30 10.3206 -239.302 5878.18 320.657 0.896305 -189.915
40 12.7193 -241.91 4960.55 395.184 0.896305 -196.224
50 14.6584 -244.47 4137.03 455.431 0.896305 -202.317
60 15.6183 -246.285 3431.35 485.254 0.896305 -207.862
70 15.1264 -247.279 2849.39 469.971 0.896305 -213.216
80 14.9764 -247.903 2435.72 465.312 0.896305 -216.738
90 14.0179 -248.149 2094.17 435.532 0.896305 -220.214
100 13.6572 -248.448 1763.02 424.323 0.896305 -223.074
110 13.1849 -249.103 1310.1 409.649 0.896305 -227.211
120 12.8199 -250.066 800.601 398.31 0.896305 -231.926
130 13.4212 -251.019 414.87 416.99 0.896305 -234.841
140 13.4031 -251.724 148.626 416.43 0.896305 -237.333
150 13.2224 -252.448 -135.651 410.815 0.896305 -240.127
160 13.2847 -253.225 -420.215 412.749 0.896305 -242.733
170 13.2089 -253.672 -574.041 410.394 0.896305 -244.278
180 12.3355 -253.656 -661.941 383.259 0.896305 -245.72
190 12.1819 -253.593 -637.319 378.487 0.896305 -245.647
200 11.3869 -253.627 -758.779 353.787 0.896305 -247.283
210 11.5073 -253.794 -750.075 357.527 0.896305 -247.272
220 11.5294 -254.03 -817.686 358.214 0.896305 -247.935
230 11.7135 -254.273 -839.213 363.936 0.896305 -248.137
240 10.9844 -254.501 -970.702 341.28 0.896305 -249.967
250 11.0347 -254.846 -1080.31 342.843 0.896305 -250.991
260 10.8184 -255.296 -1227.86 336.123 0.896305 -252.638
270 10.7341 -255.697 -1398.34 333.506 0.896305 -254.256
280 10.3308 -255.817 -1490.83 320.974 0.896305 -255.394
290 10.5117 -255.711 -1407.3 326.595 0.896305 -254.552
300 10.553 -255.833 -1440.54 327.876 0.896305 -254.853
310 10.8334 -256.098 -1507.98 336.591 0.896305 -255.287
320 10.6437 -256.257 -1565.07 330.696 0.896305 -256.015
330 10.9057 -256.317 -1538.71 338.837 0.896305 -255.638
340 10.5847 -256.383 -1575.31 328.862 0.896305 -256.268
350 10.5575 -256.596 -1614.6 328.017 0.896305 -256.769
360 10.2942 -256.743 -1692.76 319.838 0.896305 -257.698
370 10.0064 -256.665 -1725.75 310.895 0.896305 -258.128
