# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pres v_tempera v_dense v_entha
0 12.0697 -238.983 6299.37 375 0.896305 -185.048
10 11.0477 -237.937 6660.33 343.249 0.896305 -182.625
20 10.4936 -236.885 6902.89 326.034 0.896305 -180.515
30 11.9423 -238.209 6420.65 371.042 0.896305 -183.596
40 14.5604 -240.871 5481.4 452.387 0.896305 -189.881
50 16.6817 -243.484 4656.75 518.296 0.896305 -195.853
60 17.6976 -245.24 3941.85 549.858 0.896305 -201.345
70 17.1703 -246.196 3349.45 533.476 0.896305 -206.765
80 17.0396 -246.711 2971.03 529.414 0.896305 -209.926
90 16.0031 -246.846 2664.35 497.212 0.896305 -213.135
100 15.9197 -247.322 2300.55 494.618 0.896305 -216.113
110 15.5704 -248.163 1802.27 483.767 0.896305 -220.615
120 15.0761 -249.128 1265.17 468.408 0.896305 -225.644
130 15.5393 -249.833 976.585 482.799 0.896305 -227.804
140 15.4237 -250.365 730.062 479.209 0.896305 -230.089
150 15.3432 -251.155 430.883 476.706 0.896305 -232.948
160 15.2738 -251.734 214.743 474.551 0.896305 -235.033
170 14.9451 -251.779 168.231 464.339 0.896305 -235.716
180 14.0566 -251.653 131.031 436.733 0.896305 -236.726
190 14.1419 -251.634 137.736 439.383 0.896305 -236.576
200 13.2859 -251.592 61.9467 412.789 0.896305 -237.894
210 13.6789 -251.886 28.8881 424.999 0.896305 -238.015
220 13.941 -252.303 -53.3938 433.14 0.896305 -238.717
230 14.1572 -252.509 -42.0862 439.858 0.896305 -238.632
240 13.1243 -252.551 -129.342 407.766 0.896305 -240.286
250 13.0752 -252.739 -194.342 406.243 0.896305 -240.956
260 12.746 -253.081 -362.727 396.014 0.896305 -242.745
270 12.6329 -253.406 -497.63 392.499 0.896305 -244.081
280 12.3178 -253.593 -621.061 382.708 0.896305 -245.402
290 12.6986 -253.523 -568.173 394.54 0.896305 -244.6
300 12.6066 -253.435 -497.437 391.683 0.896305 -244.134
310 13.0168 -253.714 -529.279 404.427 0.896305 -244.214
320 13.0706 -254.123 -644.696 406.097 0.896305 -245.337
330 13.613 -254.39 -645.672 422.951 0.896305 -245.068
340 13.1596 -254.418 -747.933 408.864 0.896305 -246.229
350 12.7532 -254.264 -760.796 396.238 0.896305 -246.567
360 12.2318 -254.134 -796.531 380.037 0.896305 -247.196
370 12.1952 -254.257 -862.829 378.9 0.896305 -247.796
380 12.625 -254.614 -965.89 392.254 0.896305 -248.408
390 12.2697 -254.95 -1138 381.213 0.896305 -250.244
400 12.1212 -255.116 -1152.06 376.602 0.896305 -250.651
410 11.7763 -255.21 -1206.55 365.884 0.896305 -251.453
420 11.1451 -255.185 -1232.14 346.274 0.896305 -252.229
430 10.8611 -255.049 -1126.75 337.451 0.896305 -251.676
440 11.5584 -255.281 -1095.05 359.114 0.896305 -251
450 12.9492 -255.835 -1113.06 402.328 0.896305 -250.284
460 13.3366 -256.147 -1193.49 414.362 0.896305 -250.743
470 12.8407 -255.931 -1213.71 398.954 0.896305 -251.157
480 12.4519 -255.581 -1210.67 386.877 0.896305 -251.175
490 12.3498 -255.417 -1197.83 383.704 0.896305 -251.028
500 12.0183 -255.322 -1245.52 373.405 0.896305 -251.582
510 10.9793 -255.178 -1320.42 341.122 0.896305 -252.974
520 11.6934 -255.231 -1310.84 363.31 0.896305 -252.249
530 11.775 -255.509 -1439.71 365.844 0.896305 -253.302
540 11.9518 -255.783 -1508.45 371.338 0.896305 -253.856
550 12.1654 -255.856 -1497.44 377.973 0.896305 -253.643
560 12.5278 -255.727 -1399.74 389.233 0.896305 -252.502
