# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pres v_tempera v_dense v_entha
0 9.65573 -238.983 6057.23 300 0.896305 -189.071
10 8.94956 -238.265 6320.86 278.059 0.896271 -187.306
20 8.80555 -237.774 6417.53 273.585 0.896168 -186.311
30 10.3161 -239.311 5854.92 320.517 0.895994 -190.07
40 12.7082 -241.921 4921.67 394.839 0.895756 -196.484
50 14.6396 -244.48 4079.32 454.846 0.895465 -202.704
60 15.5925 -246.293 3351.7 484.452 0.895128 -208.396
70 15.0946 -247.284 2745.97 468.985 0.894754 -213.908
80 14.9392 -247.903 2306.65 464.154 0.894351 -217.6
90 13.9764 -248.144 1939.49 434.242 0.893921 -221.244
100 13.6037 -248.428 1583.6 422.663 0.893471 -224.267
110 13.1176 -249.061 1105.96 407.559 0.893004 -228.566
120 12.7429 -250.001 570.891 395.916 0.892525 -233.448
130 13.3402 -250.937 156.181 414.474 0.892039 -236.554
140 13.3194 -251.623 -141.533 413.829 0.891553 -239.249
150 13.1258 -252.314 -451.434 407.815 0.891068 -242.206
160 13.1872 -253.068 -760.752 409.72 0.890589 -244.969
170 13.1298 -253.513 -944.245 407.937 0.890118 -246.702
180 12.2732 -253.497 -1061.74 381.324 0.889658 -248.333
190 12.1145 -253.413 -1061.23 376.393 0.88921 -248.408
200 11.3163 -253.426 -1203.85 351.592 0.888773 -250.178
210 11.4268 -253.565 -1219.12 355.028 0.88835 -250.313
220 11.4463 -253.779 -1302.81 355.631 0.887941 -251.073
230 11.6236 -253.995 -1339.53 361.14 0.887547 -251.362
240 10.9046 -254.21 -1492.95 338.802 0.887167 -253.329
250 10.951 -254.531 -1623.59 340.243 0.886805 -254.486
260 10.7299 -254.953 -1787.02 333.374 0.88646 -256.231
270 10.658 -255.344 -1966.35 331.14 0.886136 -257.904
280 10.3098 -255.503 -2089.59 320.321 0.885833 -259.244
290 10.4882 -255.388 -2021.02 325.864 0.885554 -258.494
300 10.4355 -255.398 -2044.68 324.226 0.885297 -258.721
310 10.703 -255.622 -2120.07 332.538 0.885062 -259.188
320 10.5342 -255.774 -2182.9 327.295 0.884852 -259.935
