# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pres v_tempera v_dense v_entha
0 12.8743 -238.983 6380.09 400 0.896305 -183.707
10 11.7467 -237.828 6768.8 364.964 0.896278 -181.095
20 11.0543 -236.595 7055.25 343.454 0.896195 -178.646
30 12.481 -237.855 6582.96 387.779 0.896055 -181.612
40 15.1683 -240.538 5623.19 471.274 0.89586 -187.98
50 17.3367 -243.163 4785.98 538.644 0.895619 -193.994
60 18.3646 -244.897 4047.27 570.58 0.895338 -199.606
70 17.8214 -245.839 3435.87 553.703 0.895024 -205.151
80 17.69 -246.313 3046.46 549.62 0.894681 -208.34
90 16.642 -246.427 2728.14 517.061 0.894314 -211.613
100 16.6547 -246.97 2323.07 517.454 0.893924 -214.835
110 16.3193 -247.846 1776.6 507.035 0.893515 -219.682
120 15.7336 -248.752 1223.26 488.837 0.893091 -224.86
130 16.1245 -249.332 942.652 500.983 0.892658 -226.917
140 15.988 -249.797 676.638 496.741 0.892217 -229.292
150 15.9005 -250.544 370.171 494.022 0.891771 -232.171
160 15.7695 -251.008 161.906 489.953 0.891322 -234.156
170 15.3984 -250.933 99.8378 478.422 0.890872 -234.867
180 14.5565 -250.802 15.4992 452.266 0.890421 -236.142
190 14.7314 -250.795 -3.85247 457.699 0.88997 -236.09
200 13.858 -250.716 -92.8069 430.564 0.88952 -237.48
210 14.4029 -251.107 -132.62 447.492 0.88907 -237.593
220 14.7609 -251.604 -243.965 458.615 0.888622 -238.478
230 14.9412 -251.749 -248.037 464.217 0.888176 -238.471
240 13.7606 -251.67 -334.108 427.537 0.887733 -240.151
250 13.6428 -251.75 -415.588 423.877 0.887293 -240.897
260 13.2901 -252.043 -586.886 412.918 0.886856 -242.695
270 13.228 -252.387 -742.768 410.99 0.886425 -244.15
280 13.0488 -252.702 -901.96 405.422 0.886 -245.717
290 13.6233 -252.789 -890.32 423.271 0.885583 -245.155
300 13.5318 -252.719 -825.847 420.426 0.885174 -244.744
310 13.8085 -252.857 -853.917 429.025 0.884772 -244.797
320 13.753 -253.15 -967.11 427.301 0.884377 -245.911
330 14.3201 -253.384 -1002.3 444.92 0.883991 -245.818
340 13.8714 -253.408 -1127.81 430.979 0.883613 -247.139
350 13.4889 -253.263 -1181.11 419.095 0.883245 -247.74
360 12.9903 -253.161 -1275.72 403.603 0.882887 -248.778
370 12.897 -253.22 -1374.57 400.705 0.882539 -249.601
380 13.1634 -253.367 -1427.41 408.982 0.882203 -249.842
390 12.7726 -253.637 -1604.92 396.841 0.881879 -251.705
400 12.6849 -253.823 -1671.59 394.116 0.881568 -252.433
410 12.2486 -253.793 -1715.12 380.558 0.881272 -253.138
420 11.6462 -253.764 -1771.83 361.843 0.880989 -254.098
430 11.6565 -253.905 -1800.95 362.163 0.880722 -254.429
440 12.4682 -254.243 -1807.67 387.381 0.880469 -254.005
450 13.6644 -254.553 -1722.87 424.547 0.880232 -252.547
460 13.8015 -254.547 -1717.84 428.808 0.880009 -252.373
470 13.2035 -254.154 -1653.31 410.229 0.8798 -252.144
480 12.4904 -253.361 -1531.31 388.073 0.879604 -251.241
490 12.012 -252.624 -1404.72 373.209 0.879421 -250.127
500 11.8286 -252.458 -1478.17 367.511 0.87925 -250.644
510 11.4132 -252.825 -1746.63 354.603 0.879092 -253.247
520 12.6411 -253.339 -1861.8 392.755 0.878948 -253.316
530 12.7568 -253.705 -1996.13 396.351 0.878819 -254.478
540 12.8279 -253.908 -2073.75 398.559 0.878707 -255.138
550 12.7654 -253.687 -1969.83 396.616 0.878612 -254.276
560 12.8711 -253.204 -1762.7 399.902 0.878532 -252.285
570 12.2593 -252.864 -1681.28 380.891 0.878468 -252.006
580 11.8336 -252.858 -1699.5 367.665 0.878418 -252.549
590 11.6092 -253.004 -1708.7 360.694 0.878381 -252.982
600 12.3223 -253.274 -1722.62 382.849 0.878359 -252.634
610 12.2611 -253.508 -1799.46 380.949 0.878351 -253.45
620 11.699 -253.728 -1913.95 363.483 0.878358 -255.009
630 12.1989 -253.923 -1920.48 379.015 0.878381 -254.748
640 12.391 -253.918 -1898.34 384.983 0.878419 -254.4
650 12.4739 -253.653 -1798.93 387.561 0.878473 -253.377
660 12.9215 -253.286 -1623.82 401.466 0.878542 -251.374
670 12.7786 -253.208 -1575.43 397.025 0.878625 -251.11
680 13.4969 -253.445 -1477.8 419.344 0.87872 -249.966
690 13.8787 -253.806 -1508.25 431.207 0.878828 -250.151
700 14.0896 -253.958 -1503.03 437.759 0.878948 -250.055
710 13.8058 -253.762 -1477.19 428.94 0.87908 -249.966
720 13.2537 -253.493 -1473.26 411.787 0.879225 -250.221
730 13.2875 -253.519 -1491.62 412.839 0.879381 -250.335
740 13.1688 -253.797 -1565.68 409.149 0.87955 -251.232
750 13.3037 -253.885 -1548.14 413.343 0.879732 -251.064
760 13.2245 -253.601 -1393.81 410.879 0.879927 -249.812
770 13.3904 -253.146 -1246 416.035 0.880133 -248.189
780 12.7835 -252.766 -1223.57 397.179 0.880349 -248.262
790 13.5935 -252.863 -1201.07 422.346 0.880575 -247.394
800 14.2309 -253.288 -1287.75 442.149 0.880811 -247.766
810 13.8686 -253.463 -1365.06 430.892 0.881057 -248.824
820 13.6609 -253.102 -1220.38 424.439 0.881314 -247.69
830 13.2577 -252.425 -1008.64 411.911 0.881582 -245.983
840 13.2085 -252.164 -935.493 410.384 0.881858 -245.275
850 13.7066 -252.559 -1027.84 425.858 0.882142 -245.793
860 14.3882 -252.877 -1055.28 447.036 0.882434 -245.612
870 13.6686 -252.61 -1079.79 424.679 0.882734 -246.228
880 13.3739 -252.114 -916.659 415.521 0.883044 -244.924
890 12.7199 -251.882 -903.141 395.202 0.883361 -245.253
900 13.704 -252.186 -946.54 425.779 0.883686 -244.863
910 13.8494 -252.497 -1019.97 430.297 0.884018 -245.52
920 13.9946 -252.622 -1064.33 434.808 0.884359 -245.796
930 13.6783 -252.594 -1094.63 424.981 0.884709 -246.286
940 13.5929 -252.612 -1083.2 422.328 0.885067 -246.309
950 12.9079 -252.696 -1166.42 401.042 0.885435 -247.635
960 13.4414 -252.971 -1157.43 417.619 0.885812 -247.313
970 13.332 -253.349 -1193.91 414.219 0.886199 -248.042
980 13.2656 -253.948 -1329.03 412.156 0.886595 -249.612
990 12.9104 -254.415 -1469.07 401.12 0.887003 -251.37
1000 13.2775 -254.569 -1445.18 412.528 0.887422 -250.992
1010 13.614 -254.727 -1407.91 422.983 0.887853 -250.559
1020 13.8182 -255.074 -1484.05 429.327 0.888296 -251.208
1030 13.743 -255.432 -1598.58 426.989 0.888751 -252.403
1040 13.4918 -255.549 -1641.72 419.184 0.889219 -253.055
1050 13.633 -255.351 -1485.28 423.572 0.889701 -251.663
1060 13.4411 -254.754 -1230.7 417.609 0.890194 -249.548
1070 12.5487 -254.275 -1088.84 389.882 0.890698 -249.008
1080 12.4331 -254.299 -1075.73 386.293 0.89121 -249.056
1090 12.6529 -254.683 -1117.09 393.122 0.891732 -249.492
1100 12.5535 -255.159 -1252.61 390.032 0.892262 -250.969
1110 12.4656 -255.563 -1401.14 387.301 0.892803 -252.446
1120 12.0968 -255.605 -1447.32 375.844 0.893355 -253.158
1130 12.0887 -255.335 -1289.93 375.591 0.893919 -251.843
1140 11.8768 -255.057 -1182.28 369.007 0.894494 -251.054
1150 11.7107 -254.979 -1147.74 363.847 0.895078 -250.907
1160 11.2906 -254.884 -1176.46 350.793 0.895672 -251.418
1170 11.3615 -254.874 -1125.48 352.998 0.896275 -250.993
1180 11.5722 -255.196 -1217.74 359.544 0.896888 -251.712
1190 11.9984 -255.608 -1283.35 372.785 0.89751 -252.127
1200 11.7898 -255.448 -1214.21 366.306 0.898143 -251.711
1210 11.8257 -254.93 -994.082 367.42 0.898786 -249.693
1220 11.015 -254.604 -919.848 342.232 0.899436 -249.681
1230 11.2534 -254.843 -931.312 349.639 0.900094 -249.753
1240 12.3509 -255.29 -915.842 383.738 0.900759 -248.995
1250 12.7222 -255.317 -800.902 395.274 0.901432 -247.887
1260 12.3434 -255.064 -648.269 383.503 0.90211 -247.001
1270 12.6144 -255.001 -517.609 391.926 0.902793 -245.802
1280 13.2945 -255.117 -420.035 413.054 0.90348 -244.592
1290 13.1711 -255.062 -327.19 409.223 0.90417 -244.047
1300 12.7359 -254.577 -136.291 395.699 0.904861 -242.739
1310 11.9663 -254.219 -25.8919 371.787 0.905554 -242.423
1320 12.4671 -254.727 -131.504 387.348 0.906246 -243.125
1330 13.166 -255.662 -397.953 409.062 0.906939 -245.11
1340 14.0241 -255.993 -441.786 435.723 0.907634 -244.868
1350 13.3103 -255.522 -311.196 413.547 0.908332 -244.253
1360 13.0243 -255.076 -137.87 404.661 0.909033 -242.955
1370 12.9656 -255.149 -96.6423 402.838 0.909733 -242.816
1380 13.4135 -255.494 -72.0252 416.753 0.910434 -242.552
1390 13.4376 -255.62 -21.1512 417.502 0.911134 -242.32
1400 12.6456 -255.446 23.6614 392.895 0.911833 -242.645
1410 11.7643 -255.333 26.7462 365.511 0.912532 -243.394
1420 11.9914 -255.5 53.1278 372.568 0.91323 -243.162
1430 12.072 -255.85 -2.45819 375.073 0.913926 -243.794
1440 12.3965 -256.02 9.70211 385.156 0.914621 -243.56
1450 12.6362 -255.702 165.342 392.601 0.915315 -241.99
1460 12.472 -255.328 320.705 387.501 0.916006 -240.771
1470 12.4005 -255.389 357.964 385.278 0.916694 -240.663
1480 13.0619 -255.972 287.808 405.828 0.917378 -241.041
1490 13.912 -256.435 287.983 432.24 0.918058 -240.654
1500 13.6281 -256.139 452.828 423.421 0.918734 -239.575
1510 13.6335 -255.823 637.879 423.589 0.919405 -238.056
1520 13.7673 -255.732 716.818 427.745 0.92007 -237.324
1530 13.4293 -255.249 902.064 417.242 0.920728 -235.984
1540 13.1614 -254.863 1021.84 408.919 0.921377 -235.095
