# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pres v_tempera v_dense v_entha
0 12.0697 -238.983 6299.37 375 0.896305 -185.048
10 11.0476 -237.938 6658.15 343.243 0.896276 -182.639
20 10.4927 -236.89 6893.84 326.004 0.89619 -180.575
30 11.9382 -238.218 6400.5 370.914 0.896042 -183.73
40 14.5502 -240.881 5447.8 452.068 0.895839 -190.106
50 16.6645 -243.493 4606.42 517.76 0.895588 -196.19
60 17.6737 -245.248 3872.72 549.115 0.895296 -201.807
70 17.1406 -246.201 3258.75 532.553 0.89497 -207.371
80 17.0053 -246.714 2856.94 528.347 0.894615 -210.686
90 15.9634 -246.843 2526.92 495.978 0.894235 -214.047
100 15.8657 -247.304 2139.19 492.942 0.893833 -217.182
110 15.5047 -248.126 1622.2 481.725 0.893413 -221.805
120 15.0059 -249.076 1058.6 466.227 0.892978 -227.008
130 15.4695 -249.771 740.29 480.631 0.892534 -229.361
140 15.3418 -250.279 470.064 476.663 0.892085 -231.798
150 15.2498 -251.039 146.05 473.806 0.891631 -234.814
160 15.19 -251.61 -99.7057 471.949 0.891176 -237.087
170 14.8736 -251.653 -172.259 462.119 0.890722 -237.931
180 13.9847 -251.511 -234.396 434.5 0.89027 -239.095
190 14.0791 -251.488 -256.788 437.431 0.88982 -239.128
200 13.2133 -251.421 -356.204 410.532 0.889373 -240.593
210 13.5716 -251.663 -402.809 421.664 0.888929 -240.79
220 13.8402 -252.065 -513.002 430.01 0.888489 -241.664
230 14.0797 -252.276 -533.078 437.452 0.888053 -241.772
240 13.0612 -252.314 -647.054 405.807 0.887623 -243.595
250 13.0067 -252.483 -723.085 404.114 0.887199 -244.331
260 12.6577 -252.784 -909.564 393.27 0.886781 -246.236
270 12.5466 -253.09 -1066.59 389.818 0.886372 -247.712
280 12.2594 -253.284 -1208.43 380.894 0.885973 -249.15
290 12.6664 -253.23 -1185.51 393.54 0.885584 -248.538
300 12.5002 -253.053 -1119.97 388.377 0.885207 -248.09
310 12.8249 -253.215 -1142.92 398.464 0.884839 -248.084
320 12.8996 -253.603 -1287.5 400.787 0.884482 -249.375
330 13.4928 -253.891 -1304.72 419.216 0.884136 -249.188
340 13.0968 -253.953 -1428.64 406.912 0.883802 -250.486
350 12.7306 -253.828 -1498.81 395.535 0.883481 -251.203
360 12.2001 -253.681 -1529.97 379.052 0.883174 -251.8
370 12.0898 -253.713 -1612.29 375.626 0.882879 -252.501
380 12.4709 -253.991 -1701.51 387.466 0.882599 -253.004
390 12.1695 -254.347 -1913.38 378.1 0.882335 -255.096
400 12.1211 -254.6 -1995.4 376.598 0.882087 -255.954
410 11.7647 -254.679 -2024.45 365.526 0.881857 -256.589
420 11.1611 -254.677 -2092.64 346.772 0.881645 -257.655
430 10.828 -254.492 -2009.11 336.422 0.881451 -257.242
440 11.2499 -254.415 -1874.49 349.53 0.881275 -255.835
450 12.4944 -254.759 -1865.66 388.196 0.881116 -254.877
460 13.0669 -255.181 -1933.27 405.984 0.880973 -255.186
470 12.8535 -255.222 -2021.48 399.352 0.880847 -256.039
