# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pres v_tempera v_dense v_entha
1000 11.2167 -256.592 -737.555 348.498 0.907901 -250.215
1010 11.4502 -256.588 -648.891 355.754 0.908727 -249.391
1020 11.5409 -256.708 -622.044 358.572 0.909557 -249.24
1030 11.2991 -256.711 -613.068 351.058 0.910393 -249.423
1040 11.0852 -256.662 -600.27 344.414 0.911233 -249.501
1050 11.5764 -256.748 -542.548 359.673 0.912078 -248.715
1060 11.9892 -256.794 -461.06 372.5 0.912927 -247.813
1070 11.3287 -256.568 -391.75 351.979 0.913779 -247.793
1080 10.8696 -256.269 -308.121 337.714 0.914634 -247.406
1090 10.805 -256.317 -294.225 335.706 0.91549 -247.427
1100 10.5802 -256.521 -374.17 328.722 0.916348 -248.373
1110 10.4358 -256.704 -376.403 324.236 0.917207 -248.713
1120 10.4921 -257.037 -391.053 325.985 0.918069 -249.082
1130 11.1323 -257.483 -433.956 345.875 0.918934 -249.163
1140 11.296 -257.736 -423.763 350.963 0.919801 -249.184
1150 11.1184 -257.826 -409.671 345.444 0.92067 -249.358
1160 10.6644 -257.839 -389.947 331.34 0.921542 -249.695
1170 10.6312 -257.888 -316.913 330.309 0.922415 -249.304
1180 10.5667 -258.047 -297.855 328.304 0.92329 -249.402
1190 10.7189 -258.247 -259.909 333.032 0.924165 -249.204
1200 10.8579 -258.487 -219.266 337.35 0.925042 -249.041
1210 11.5205 -258.815 -143.695 357.939 0.925918 -248.218
1220 10.9893 -259.006 -231.935 341.435 0.926794 -249.507
1230 10.8002 -259.075 -236.014 335.559 0.927669 -249.79
1240 11.3195 -259.153 -137.488 351.693 0.928545 -248.715
1250 11.5972 -259.214 -91.245 360.32 0.929419 -248.201
1260 11.2469 -259.07 -101.246 349.438 0.930292 -248.472
1270 11.1565 -258.741 -6.31417 346.629 0.931164 -247.625
1280 11.3841 -258.46 113.74 353.7 0.932033 -246.349
1290 11.2206 -258.294 201.91 348.62 0.932898 -245.784
1300 11.1403 -258.133 291.914 346.125 0.933758 -245.13
1310 10.4893 -257.853 368.169 325.9 0.934614 -245.017
1320 10.2745 -257.597 518.183 319.226 0.935463 -244.023
1330 10.3383 -257.669 593.038 321.209 0.936304 -243.557
1340 11.4301 -258.103 593.765 355.129 0.937138 -242.899
1350 11.8266 -258.628 561.668 367.448 0.937963 -243.234
1360 12.097 -258.843 602.864 375.849 0.938779 -242.92
1370 11.6891 -258.664 739.182 363.175 0.939588 -242.289
1380 11.5756 -258.475 874.427 359.649 0.940386 -241.361
1390 11.5438 -258.481 921.835 358.663 0.941173 -241.103
1400 11.2091 -258.665 883.909 348.262 0.941949 -241.866
1410 10.7934 -258.99 801.642 335.348 0.942714 -243.131
1420 11.0872 -259.344 802.237 344.475 0.943468 -243.192
1430 10.9352 -259.532 786.929 339.753 0.944212 -243.632
1440 11.0469 -259.556 828.245 343.222 0.944945 -243.288
1450 11.3626 -259.424 947.743 353.031 0.945667 -242.091
1460 11.0977 -259.027 1089.66 344.801 0.946377 -241.071
1470 10.5163 -258.551 1193.77 326.737 0.947074 -240.526
1480 10.5975 -258.448 1167.39 329.259 0.947757 -240.513
1490 11.2302 -258.573 1184.23 348.917 0.948427 -239.905
1500 11.2913 -258.467 1244.39 350.815 0.949081 -239.366
1510 11.4105 -258.204 1362.15 354.521 0.949722 -238.25
1520 11.4066 -257.893 1498.6 354.398 0.950346 -237.093
1530 11.3808 -257.635 1671.16 353.597 0.950954 -235.786
1540 11.4689 -257.581 1713.97 356.336 0.951543 -235.382
1550 11.86 -257.558 1781 368.487 0.952114 -234.555
1560 11.7253 -257.408 1876.58 364.3 0.952665 -233.949
1570 12.0107 -257.341 1952.23 373.169 0.953195 -233.131
1580 11.3429 -257.468 1829.94 352.421 0.953705 -234.696
1590 11.4063 -257.536 1826.95 354.39 0.954196 -234.724
1600 11.5883 -257.398 1904.07 360.043 0.954667 -233.929
1610 10.8455 -257.129 1977.81 336.964 0.955117 -233.948
1620 11.2599 -257.044 2107.77 349.841 0.955546 -232.645
1630 11.8784 -257.071 2202.66 369.057 0.955954 -231.468
1640 11.3846 -257.135 2193.01 353.714 0.956339 -232.091
1650 11.8572 -257.337 2224.08 368.398 0.956702 -231.632
1660 11.809 -257.517 2192.95 366.901 0.957041 -232.058
1670 11.5532 -257.461 2221.11 358.952 0.957359 -232.088
1680 11.7403 -257.299 2309.2 364.766 0.957653 -231.195
1690 11.3475 -257.346 2286.79 352.563 0.957925 -231.778
1700 11.114 -257.488 2244.94 345.308 0.958173 -232.418
1710 11.0818 -257.718 2204.77 344.307 0.958399 -232.932
1720 11.7038 -258.033 2171.45 363.633 0.958604 -232.835
1730 11.7875 -258.158 2171.32 366.232 0.958787 -232.88
1740 11.5823 -258.006 2234.27 359.857 0.958948 -232.545
1750 11.1963 -257.896 2213.61 347.864 0.959088 -232.951
1760 11.8634 -257.902 2328.04 368.591 0.959205 -231.581
1770 11.5845 -257.965 2313.56 359.927 0.959301 -232.014
1780 11.5899 -258.199 2203.64 360.094 0.959374 -232.927
1790 12.0477 -258.425 2195.5 374.319 0.959426 -232.746
1800 12.3625 -258.359 2302.19 384.097 0.959457 -231.704
1810 11.0683 -258.049 2336.99 343.887 0.959466 -232.472
1820 11.2065 -257.992 2383.8 348.18 0.959454 -231.986
1830 11.224 -258.244 2247.17 348.727 0.959419 -233.067
1840 11.4884 -258.521 2121.59 356.94 0.959363 -233.859
1850 11.2261 -258.501 2080.33 348.791 0.959287 -234.357
1860 10.6176 -258.368 2109.72 329.886 0.959192 -234.648
1870 10.8489 -258.703 2005.86 337.071 0.959077 -235.395
1880 11.3899 -259.301 1840.7 353.879 0.958945 -236.477
1890 11.1867 -259.416 1751.9 347.565 0.958795 -237.345
1900 10.9087 -259.271 1708.1 338.929 0.95863 -237.749
1910 10.7906 -259.194 1672.56 335.259 0.95845 -238.008
1920 10.6443 -259.199 1624.68 330.714 0.958255 -238.455
1930 10.9578 -259.317 1606.29 340.454 0.958046 -238.372
1940 11.1689 -259.42 1590.41 347.015 0.957822 -238.36
1950 10.7898 -259.225 1614.31 335.236 0.957584 -238.394
1960 10.687 -258.966 1714.14 332.041 0.957333 -237.613
1970 11.0926 -259.205 1646.05 344.644 0.957067 -237.867
1980 11.6692 -259.776 1514.88 362.557 0.956787 -238.676
1990 11.157 -259.897 1462.34 346.643 0.956494 -239.633
2000 10.7676 -259.546 1541.79 334.547 0.956189 -239.173
2010 10.6589 -259.113 1643.62 331.168 0.95587 -238.211
2020 10.4745 -258.893 1705.5 325.438 0.955538 -237.787
2030 10.8261 -258.976 1745.04 336.363 0.955191 -237.267
2040 11.0103 -259.237 1669.56 342.085 0.95483 -237.811
2050 11.4558 -259.325 1653.75 355.928 0.954455 -237.548
2060 11.2685 -259.178 1708.11 350.109 0.954067 -237.245
2070 11.0528 -259.079 1735.98 343.406 0.953665 -237.183
2080 10.5459 -259.145 1594.35 327.658 0.953248 -238.636
2090 10.5449 -259.14 1547.82 327.627 0.952819 -238.919
2100 11.1771 -259.086 1588.32 347.269 0.952378 -237.975
2110 11.285 -259.126 1524.02 350.62 0.951924 -238.304
2120 11.3391 -259.204 1463.98 352.3 0.951459 -238.7
2130 11.8039 -259.04 1593.97 366.743 0.950982 -237.252
2140 11.5781 -258.737 1688.78 359.728 0.950493 -236.575
2150 11.212 -258.725 1617.18 348.354 0.949991 -237.372
2160 10.8757 -258.881 1467.01 337.903 0.949477 -238.802
2170 11.483 -258.919 1490.54 356.773 0.948952 -238.079
2180 10.9153 -258.663 1477.31 339.133 0.948415 -238.469
2190 10.6426 -258.393 1451.74 330.66 0.947868 -238.627
2200 11.1302 -258.204 1506.63 345.81 0.94731 -237.6
2210 10.8106 -258.274 1359.31 335.883 0.946742 -238.91
2220 10.6748 -258.578 1157.7 331.662 0.946164 -240.614
2230 11.1665 -258.925 1062.94 346.938 0.945578 -241.062
2240 11.6001 -259.246 965.064 360.409 0.944986 -241.562
2250 11.7618 -259.336 912.157 365.434 0.944388 -241.82
2260 11.7259 -259.147 996.949 364.321 0.943784 -241.128
2270 11.0876 -259.087 956.085 344.489 0.943176 -241.962
2280 11.858 -259.318 976.44 368.422 0.942561 -241.289
2290 12.3557 -259.54 936.418 383.887 0.941942 -241.262
2300 11.6071 -259.525 804.547 360.627 0.941317 -242.827
2310 11.5366 -259.53 705.729 358.438 0.940688 -243.524
2320 11.0113 -259.602 525.094 342.116 0.940057 -245.263
2330 11.2548 -259.534 468.059 349.681 0.939424 -245.311
2340 10.4776 -259.139 417.548 325.536 0.938791 -246.012
2350 10.2623 -258.812 444.897 318.846 0.938157 -245.725
2360 10.6366 -258.919 413.443 330.475 0.937524 -245.656
2370 10.8062 -259.086 334.692 335.744 0.93689 -246.152
2380 11.1486 -259.021 392.13 346.384 0.936257 -245.377
2390 10.9295 -259.042 327.555 339.574 0.935625 -246.027
2400 11.0215 -259.107 302.306 342.435 0.934993 -246.16
2410 11.8046 -259.134 369.34 366.765 0.934363 -244.975
2420 11.706 -259.199 306.135 363.702 0.933732 -245.54
2430 11.6535 -259.252 222.293 362.071 0.933103 -246.18
2440 11.5016 -259.115 209.365 357.352 0.932476 -246.276
2450 11.0326 -258.865 174.063 342.779 0.93185 -246.72
2460 11.2969 -258.691 164.197 350.991 0.931227 -246.344
2470 11.1697 -258.724 119.9 347.038 0.930606 -246.787
2480 11.6213 -258.941 115.106 361.07 0.929988 -246.583
2490 12.1747 -258.993 123.21 378.264 0.929373 -246.029
2500 12.168 -258.563 232.278 378.055 0.92876 -244.905
2510 11.573 -257.928 373.673 359.567 0.928149 -243.957
2520 11.3843 -257.757 374.429 353.706 0.927539 -243.968
2530 11.7742 -258.191 205.383 365.82 0.926929 -245.096
2540 12.1157 -258.435 124.838 376.431 0.926321 -245.517
2550 11.916 -258.061 166.858 370.226 0.925716 -245.071
2560 12.068 -257.677 261.671 374.947 0.925113 -243.924
2570 11.9603 -257.855 100.296 371.602 0.924512 -245.248
2580 11.725 -258.034 -1.93517 364.29 0.923914 -246.322
2590 11.3359 -257.861 42.0473 352.201 0.92332 -246.254
2600 10.6806 -257.755 5.77338 331.844 0.92273 -247.037
2610 10.8022 -258.007 -101.29 335.62 0.922143 -247.859
2620 11.0085 -258.45 -269.834 342.029 0.921561 -249.185
2630 11.3931 -258.588 -310.094 353.98 0.920985 -249.2
2640 11.57 -258.313 -211.358 359.476 0.920416 -248.111
2650 11.0321 -257.917 -188.689 342.764 0.919853 -248.107
2660 10.9017 -257.63 -195.357 338.711 0.919296 -247.994
2670 10.4078 -257.683 -366.542 323.366 0.918744 -249.652
2680 11.064 -258.181 -579.293 343.755 0.918199 -250.876
2690 11.6655 -258.536 -720.301 362.441 0.917664 -251.546
2700 11.7036 -258.376 -686.355 363.627 0.917139 -251.13
2710 11.3501 -258.053 -638.482 352.643 0.916623 -250.852
2720 11.0901 -258.113 -703.286 344.564 0.916118 -251.596
2730 11.1756 -258.276 -745.093 347.221 0.915622 -251.948
2740 10.634 -258.145 -759.234 330.393 0.915137 -252.453
2750 10.3576 -258.013 -766.973 321.808 0.914661 -252.65
2760 10.5672 -257.957 -742.32 328.32 0.914196 -252.227
2770 10.7434 -257.927 -698.611 333.795 0.913741 -251.738
2780 11.1114 -257.945 -670.776 345.226 0.913295 -251.209
2790 10.9541 -257.954 -722.339 340.34 0.912859 -251.714
2800 10.9353 -257.882 -745.836 339.755 0.912432 -251.816
2810 10.7821 -257.712 -765.595 334.995 0.912016 -251.93
2820 11.223 -257.504 -705.331 348.694 0.911609 -250.89
2830 10.785 -257.392 -738.431 335.086 0.911211 -251.434
2840 11.2694 -257.344 -708.085 350.135 0.910823 -250.705
2850 11.0131 -257.188 -730.427 342.173 0.910443 -250.954
2860 10.8646 -257.033 -718.273 337.559 0.910073 -250.87
2870 10.4657 -257.158 -813.809 325.165 0.909712 -252.021
2880 10.862 -257.515 -919.575 337.478 0.909361 -252.676
2890 10.5284 -257.727 -1020.28 327.112 0.909021 -253.885
2900 10.515 -257.734 -1049.37 326.698 0.908693 -254.098
2910 9.76892 -257.58 -1077.7 303.517 0.908377 -254.878
2920 9.98655 -257.647 -1098.2 310.278 0.908072 -254.864
2930 11.1371 -257.933 -1117.89 346.024 0.90778 -254.131
2940 11.057 -258.174 -1209.26 343.537 0.907501 -255.054
2950 10.9738 -258.279 -1275.1 340.952 0.907234 -255.677
2960 11.4424 -258.03 -1163.96 355.512 0.906981 -254.232
2970 11.0049 -257.483 -1051.97 341.918 0.906741 -253.389
2980 10.5525 -256.9 -888.991 327.863 0.906511 -252.189
2990 10.2481 -256.733 -894.123 318.406 0.906292 -252.362
3000 10.7389 -257.083 -1047.91 333.654 0.906082 -253.233
3010 11.3371 -257.34 -1109.92 352.239 0.905883 -253.301
3020 11.4941 -257.373 -1141.14 357.118 0.905695 -253.384
3030 11.4834 -257.439 -1221.45 356.784 0.90552 -253.991
3040 11.1572 -257.386 -1212.67 346.65 0.905357 -254.208
3050 11.2664 -257.155 -1111.14 350.044 0.905206 -253.201
3060 10.6037 -256.891 -1100.16 329.453 0.905067 -253.529
3070 10.9334 -256.688 -997.269 339.696 0.904939 -252.319
3080 10.7171 -256.552 -1004.69 332.976 0.90482 -252.449
3090 10.8739 -256.687 -1086.47 337.847 0.904712 -252.967
3100 11.129 -256.999 -1178.96 345.774 0.904615 -253.634
3110 11.3961 -257.172 -1217.68 354.074 0.904529 -253.794
3120 11.6365 -256.991 -1112.17 361.543 0.904456 -252.679
3130 11.4357 -256.738 -1053.36 355.302 0.904393 -252.24
3140 11.3121 -256.504 -972.277 351.461 0.90434 -251.596
3150 11.0073 -256.313 -909.4 341.993 0.904297 -251.297
3160 11.165 -256.294 -897.999 346.893 0.904262 -251.045
3170 11.0748 -256.465 -966.13 344.089 0.904237 -251.755
3180 11.2957 -256.61 -990.336 350.954 0.90422 -251.839
3190 11.2138 -256.55 -1003.37 348.408 0.904213 -251.946
3200 11.3993 -256.506 -1004.05 354.173 0.904216 -251.721
3210 11.52 -256.59 -1034.4 357.921 0.904227 -251.884
3220 11.2395 -256.578 -987.007 349.206 0.904248 -251.841
3230 11.8911 -256.614 -873.331 369.453 0.904279 -250.476
3240 11.3793 -256.782 -923.728 353.551 0.904317 -251.487
3250 11.3157 -256.966 -982.907 351.573 0.904364 -252.124
3260 10.8131 -256.952 -1031.57 335.96 0.90442 -252.933
3270 10.4569 -256.912 -1081.79 324.891 0.904485 -253.58
3280 10.6989 -256.911 -1110.43 332.409 0.90456 -253.525
3290 10.8239 -256.801 -1092.36 336.296 0.904645 -253.169
3300 10.9815 -256.905 -1127.37 341.19 0.90474 -253.347
3310 11.2899 -257.421 -1226.36 350.773 0.904845 -254.204
3320 11.8077 -257.819 -1222.38 366.859 0.904962 -254.057
3330 11.6118 -257.746 -1142.08 360.775 0.905089 -253.65
3340 10.8648 -257.476 -1128.75 337.566 0.905226 -254.039
3350 11.2269 -257.397 -1094.61 348.815 0.905373 -253.372
3360 11.2688 -257.525 -1212.04 350.117 0.90553 -254.229
3370 11.6761 -257.83 -1337.08 362.772 0.905697 -254.948
3380 12.044 -258.038 -1411.75 374.201 0.905876 -255.277
3390 11.7367 -257.95 -1433.06 364.653 0.906068 -255.635
3400 11.3022 -257.549 -1283.65 351.154 0.906271 -254.684
3410 11.2647 -257.203 -1112 349.989 0.906486 -253.246
3420 11.6875 -257.135 -1018.19 363.126 0.906711 -252.137
3430 11.512 -257.179 -988.787 357.675 0.906944 -252.161
3440 11.3303 -257.2 -986.579 352.029 0.907186 -252.348
3450 10.8501 -257.105 -978.894 337.109 0.907435 -252.681
3460 10.9761 -257.034 -938.66 341.022 0.907693 -252.218
3470 10.8534 -257.123 -1009.48 337.212 0.907959 -252.892
3480 10.5955 -257.347 -1061.9 329.197 0.908233 -253.716
3490 10.7329 -257.679 -1141.98 333.466 0.908515 -254.434
3500 11.1017 -257.917 -1152.86 344.927 0.908808 -254.372
3510 11.6141 -257.759 -995.793 360.846 0.909109 -252.67
3520 11.5833 -257.428 -884.594 359.889 0.909419 -251.639
3530 11.8336 -257.318 -803.924 367.665 0.909736 -250.748
3540 11.2026 -257.283 -812.837 348.061 0.91006 -251.401
3550 11.6811 -257.2 -696.193 362.927 0.910389 -250.074
3560 11.7094 -256.953 -602.453 363.806 0.910725 -249.185
3570 11.3503 -256.678 -586.603 352.65 0.911064 -249.163
3580 10.9444 -256.668 -653.235 340.038 0.911408 -249.993
3590 11.7936 -257.059 -683.406 366.423 0.911757 -249.73
3600 12.6232 -257.417 -724.602 392.197 0.912111 -249.526
3610 11.967 -257.18 -699.059 371.809 0.91247 -249.777
3620 10.6021 -256.667 -644.756 329.405 0.912835 -250.272
3630 10.6785 -256.62 -573.52 331.776 0.913204 -249.683
3640 11.5096 -256.944 -517.834 357.598 0.913577 -248.811
3650 11.438 -257.232 -541.41 355.373 0.913954 -249.322
3660 11.6747 -257.308 -418.17 362.729 0.914334 -248.358
3670 11.4505 -257.293 -383.27 355.764 0.914717 -248.339
3680 11.5379 -257.304 -294.393 358.48 0.915103 -247.682
3690 11.4833 -257.283 -263.285 356.783 0.915489 -247.512
3700 11.3379 -257.224 -251.812 352.263 0.915877 -247.524
3710 11.5318 -256.962 -220.218 358.288 0.916265 -246.862
3720 10.8352 -256.46 -121.488 336.645 0.916654 -246.415
3730 10.5153 -256.372 -128.211 326.706 0.917043 -246.689
3740 11.2339 -257.18 -360.029 349.035 0.917431 -248.283
3750 11.7168 -257.973 -564.629 364.035 0.917821 -249.92
3760 11.6177 -258.126 -556.921 360.956 0.918215 -250.121
3770 11.4906 -257.943 -483.143 357.009 0.918613 -249.585
3780 11.0453 -257.743 -467.07 343.173 0.919013 -249.725
3790 10.9175 -257.306 -290.048 339.203 0.919417 -248.267
3800 10.7629 -256.945 -111.759 334.399 0.919822 -246.906
3810 10.5999 -257.085 -137.426 329.334 0.920226 -247.375
3820 11.003 -257.643 -203.931 341.858 0.920631 -247.959
3830 11.5002 -258.278 -283.214 357.308 0.921036 -248.609
3840 12.1494 -258.639 -280.732 377.477 0.921442 -248.305
3850 12.2338 -258.456 -165.733 380.099 0.92185 -247.294
3860 11.8087 -257.931 -8.2811 366.893 0.922257 -246.176
3870 11.4798 -257.438 107.656 356.673 0.922663 -245.263
3880 11.2092 -257.158 214.906 348.266 0.923067 -244.562
3890 11.3255 -257.313 197.644 351.878 0.923467 -244.712
3900 11.781 -257.728 97.6941 366.03 0.923864 -245.317
3910 12.159 -258.12 -5.13739 377.775 0.924259 -245.994
3920 12.066 -258.266 -92.4675 374.887 0.924653 -246.796
3930 11.4278 -258.129 -110.347 355.058 0.925045 -247.412
