# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pres v_tempera v_dense v_entha
0 10.4604 -238.983 6137.94 325 0.896305 -187.73
10 9.64903 -238.156 6434.26 299.792 0.896273 -185.744
20 9.36825 -237.479 6575.21 291.068 0.896176 -184.406
30 10.8559 -238.946 6036.36 337.289 0.896013 -187.959
40 13.3197 -241.571 5097.92 413.84 0.895788 -194.352
50 15.3159 -244.152 4253.12 475.858 0.895512 -200.545
60 16.2885 -245.946 3523.68 506.078 0.895193 -206.211
70 15.7773 -246.924 2915.52 490.195 0.894837 -211.738
80 15.6312 -247.51 2487.61 485.657 0.894452 -215.312
90 14.6319 -247.704 2132.73 454.608 0.894042 -218.862
100 14.3394 -248.033 1765.07 445.52 0.893611 -221.927
110 13.8995 -248.729 1287.16 431.853 0.893161 -226.245
120 13.5032 -249.691 734.52 419.539 0.892699 -231.287
130 14.0794 -250.573 339.494 437.441 0.89223 -234.227
140 14.0076 -251.19 64.0255 435.21 0.891758 -236.754
150 13.8513 -251.91 -249.058 430.354 0.891285 -239.723
160 13.9068 -252.644 -557.903 432.078 0.890815 -242.468
170 13.7565 -252.959 -689.01 427.409 0.890351 -243.812
180 12.8565 -252.874 -787.217 399.445 0.889894 -245.287
190 12.7794 -252.81 -764.736 397.05 0.889445 -245.152
200 11.9406 -252.779 -898.615 370.988 0.889005 -246.859
210 12.0877 -252.901 -925.701 375.561 0.888574 -247.019
220 12.1787 -253.153 -1038.51 378.389 0.888152 -247.94
230 12.4402 -253.425 -1085.12 386.512 0.887742 -248.266
240 11.6491 -253.611 -1241.41 361.934 0.887342 -250.296
250 11.6677 -253.893 -1352.22 362.51 0.886956 -251.307
260 11.4009 -254.278 -1510.47 354.223 0.886584 -253.026
270 11.2933 -254.622 -1701.29 350.879 0.886227 -254.764
280 10.8618 -254.682 -1817.9 337.472 0.885888 -256.044
290 11.0087 -254.453 -1732.43 342.037 0.885568 -255.097
300 10.9378 -254.38 -1713.52 339.833 0.885265 -254.972
310 11.2942 -254.623 -1764.38 350.905 0.88498 -255.205
320 11.2444 -254.872 -1849.04 349.36 0.884713 -256.077
330 11.6149 -254.978 -1867.22 360.871 0.884466 -255.938
340 11.2289 -254.965 -1912.36 348.879 0.884237 -256.619
350 11.1608 -255.1 -1978.36 346.762 0.884028 -257.27
360 10.9947 -255.326 -2076.99 341.602 0.883839 -258.33
370 10.8579 -255.401 -2127.81 337.35 0.883671 -258.887
380 10.9609 -255.468 -2166.67 340.551 0.883524 -259.115
390 10.566 -255.664 -2317.29 328.282 0.8834 -260.723
400 10.5405 -255.901 -2432.32 327.489 0.883299 -261.764
410 10.4376 -256.203 -2551.01 324.291 0.883223 -262.97
420 10.2131 -256.588 -2699.71 317.317 0.883173 -264.584
430 10.2085 -256.86 -2762.89 317.173 0.883151 -265.287
440 10.4319 -256.804 -2692.43 324.114 0.883156 -264.532
450 10.8701 -256.54 -2538.15 337.73 0.883188 -262.789
460 10.6868 -256.166 -2433.38 332.034 0.883246 -261.891
470 10.3182 -255.866 -2354.19 320.581 0.883329 -261.423
480 10.2868 -255.739 -2306.76 319.607 0.883435 -261.007
490 10.6152 -255.956 -2337.49 329.811 0.883565 -261.099
500 10.7456 -256.317 -2380.01 333.863 0.883719 -261.614
510 10.167 -256.635 -2480.27 315.886 0.883896 -263.183
520 10.8811 -256.908 -2465.67 338.071 0.884099 -262.64
530 10.7808 -257.126 -2485.14 334.954 0.884327 -263.085
540 10.8282 -257.367 -2512.07 336.427 0.88458 -263.455
550 10.9265 -257.436 -2551.96 339.482 0.884858 -263.689
560 10.8519 -256.981 -2428.9 337.164 0.885162 -262.474
570 9.91575 -256.315 -2326.23 308.079 0.885491 -262.048
580 9.37563 -256.083 -2346.35 291.297 0.885844 -262.486
590 9.33385 -256.309 -2441.86 289.999 0.886221 -263.389
600 9.90657 -256.515 -2434.45 307.793 0.886622 -262.965
610 9.66285 -256.479 -2471.57 300.221 0.887048 -263.414
620 9.20499 -256.588 -2528.52 285.996 0.887499 -264.354
630 9.96668 -257.078 -2562.94 309.661 0.887977 -264.304
640 10.6987 -257.72 -2625.3 332.404 0.88848 -264.622
650 11.2386 -258.148 -2626.14 349.179 0.88901 -264.506
660 11.7342 -258.195 -2536.76 364.578 0.889567 -263.448
670 11.2412 -257.982 -2478.24 349.26 0.890149 -263.325
680 11.2328 -257.704 -2356.27 348.998 0.890757 -262.228
690 11.0623 -257.533 -2291.61 343.701 0.891389 -261.785
700 11.0653 -257.44 -2223.84 343.795 0.892044 -261.225
710 10.8271 -257.208 -2103.49 336.393 0.892722 -260.417
720 10.2899 -256.825 -1944.64 319.702 0.893421 -259.5
730 10.2799 -256.717 -1824.41 319.393 0.894141 -258.591
740 10.2267 -256.891 -1839.26 317.74 0.894879 -258.907
750 10.5128 -257.069 -1808.95 326.63 0.895635 -258.587
760 10.8497 -257.224 -1738.12 337.096 0.89641 -257.925
770 11.4427 -257.378 -1645.95 355.521 0.897202 -256.863
780 11.0493 -257.312 -1571.47 343.297 0.898011 -256.687
790 11.2596 -257.033 -1388.26 349.832 0.898835 -254.974
800 11.0224 -256.606 -1253.85 342.463 0.899673 -253.886
810 10.4123 -256.279 -1175.98 323.506 0.900524 -253.645
820 10.8713 -256.498 -1183.17 337.768 0.901386 -253.445
830 11.543 -256.992 -1227.97 358.635 0.90226 -253.556
840 11.9071 -257.385 -1217.27 369.949 0.903147 -253.506
